id,intercalibration_id,ic_analysis_id
829,26994,4578
830,26994,4582
831,26994,4583
832,26994,4584
833,26994,4585
834,26994,4610
835,26994,4626
836,26994,4640
837,26994,4656
838,26994,4660
839,26994,4662
840,26994,5186
841,26994,5203
842,26994,5213
843,26994,5231
844,26994,5247
845,26994,5263
846,26994,5282
847,26995,4578
848,26995,4582
849,26995,4583
850,26995,4584
851,26995,4585
852,26995,4610
853,26995,4626
854,26995,4640
855,26995,4656
856,26995,4660
857,26995,4662
858,26995,5186
859,26995,5203
860,26995,5213
861,26995,5231
862,26995,5247
863,26995,5263
864,26995,5282
865,26996,4578
866,26996,4582
867,26996,4583
868,26996,4584
869,26996,4585
870,26996,4610
871,26996,4626
872,26996,4640
873,26996,4656
874,26996,4660
875,26996,4662
876,26996,5186
877,26996,5203
878,26996,5213
879,26996,5231
880,26996,5247
881,26996,5263
882,26996,5282
883,26997,4578
884,26997,4582
885,26997,4583
886,26997,4584
887,26997,4585
888,26997,4610
889,26997,4626
890,26997,4640
891,26997,4656
892,26997,4660
893,26997,4662
894,26997,5186
895,26997,5203
896,26997,5213
897,26997,5231
898,26997,5247
899,26997,5263
900,26997,5282
901,26998,4578
902,26998,4582
903,26998,4583
904,26998,4584
905,26998,4585
906,26998,4610
907,26998,4626
908,26998,4640
909,26998,4656
910,26998,4660
911,26998,4662
912,26998,5186
913,26998,5203
914,26998,5213
915,26998,5231
916,26998,5247
917,26998,5263
918,26998,5282
919,26999,4578
920,26999,4582
921,26999,4583
922,26999,4584
923,26999,4585
924,26999,4610
925,26999,4626
926,26999,4640
927,26999,4656
928,26999,4660
929,26999,4662
930,26999,5186
931,26999,5203
932,26999,5213
933,26999,5231
934,26999,5247
935,26999,5263
936,26999,5282
937,27000,4578
938,27000,4582
939,27000,4583
940,27000,4584
941,27000,4585
942,27000,4610
943,27000,4626
944,27000,4640
945,27000,4656
946,27000,4660
947,27000,4662
948,27000,5186
949,27000,5203
950,27000,5213
951,27000,5231
952,27000,5247
953,27000,5263
954,27000,5282
955,27001,4578
956,27001,4582
957,27001,4583
958,27001,4584
959,27001,4585
960,27001,4610
961,27001,4626
962,27001,4640
963,27001,4656
964,27001,4660
965,27001,4662
966,27001,5186
967,27001,5203
968,27001,5213
969,27001,5231
970,27001,5247
971,27001,5263
972,27001,5282
973,27002,4578
974,27002,4582
975,27002,4583
976,27002,4584
977,27002,4585
978,27002,4610
979,27002,4626
980,27002,4640
981,27002,4656
982,27002,4660
983,27002,4662
984,27002,5186
985,27002,5203
986,27002,5213
987,27002,5231
988,27002,5247
989,27002,5263
990,27002,5282
991,27003,4578
992,27003,4582
993,27003,4583
994,27003,4584
995,27003,4585
996,27003,4610
997,27003,4626
998,27003,4640
999,27003,4656
1000,27003,4660
1001,27003,4662
1002,27003,5186
1003,27003,5203
1004,27003,5213
1005,27003,5231
1006,27003,5247
1007,27003,5263
1008,27003,5282
1009,27004,4578
1010,27004,4582
1011,27004,4583
1012,27004,4584
1013,27004,4585
1014,27004,4610
1015,27004,4626
1016,27004,4640
1017,27004,4656
1018,27004,4660
1019,27004,4662
1020,27004,5186
1021,27004,5203
1022,27004,5213
1023,27004,5231
1024,27004,5247
1025,27004,5263
1026,27004,5282
1027,27005,4578
1028,27005,4582
1029,27005,4583
1030,27005,4584
1031,27005,4585
1032,27005,4610
1033,27005,4626
1034,27005,4640
1035,27005,4656
1036,27005,4660
